"code","name","Artista","Musica","Letra"
3430,"03430.mp4","Leandro E Leonardo","Mais Uma Noite Sem Você","Mais Uma Noite Sem Você Eu Não Vou"
3431,"03431.mp4","Grafite","Mamma Maria","Fim De Semana Você Me Liga Você Me"
3432,"03432.mp4","Elis Regina","Me Deixas Louca","Quando Caminho Pela Rua Lado"
3433,"03433.mp4","Gian E Giovani","Medo","Bandida Solidão Vou Te Prender De Vez"
3434,"03434.mp4","Ritchie","Menina Veneno","Meia-Noite No Meu Quarto Ela Vai Subir"
3435,"03435.mp4","Gian E Giovani","Nossa Senhora De Aparecida","Eu Tenho Fé, Eu Tenho Fé, Eu Tenho Fé"
3436,"03436.mp4","Nenhum De Nós","O Astronauta De Mármore","A Lua Inteira Agora É Um Manto"
3437,"03437.mp4","Gian E Giovani","O Que É Que A Gente Não Faz Por A","Ela Chega Bem Cedo E Já Me Tira Do"
3438,"03438.mp4","Gian E Giovani","Olha Amor","Olha Amor Tô Morrendo De Saudade"
3439,"03439.mp4","João Paulo E Daniel","Pedindo Bis","Meu Bem Meu Coração Está Pedindo Bis"
3440,"03440.mp4","Ritchie","Pelo Interfone","Chamo Por Você Ninguém Atende"
3441,"03441.mp4","Leandro E Leonardo","Pense Em Mim","Em Vez De Você Ficar Pensando Nele"
3442,"03442.mp4","Ritchie","Por Que Fui Te Amar Assim","Sei Que Te Perdi Dessa Vez Pra Nunca"
3443,"03443.mp4","Netinho","Preciso De Você","Fui Atrás Do Que Restou Foi Tão Belo O"
3444,"03444.mp4","Blitz","Quem Tem Põe","Eu Moro Longe Não Tenho Carro Nem"
3445,"03445.mp4","Netinho","Rainha Do Baile","Quem És Tu? Rainha Do Baile Que Dança"
3446,"03446.mp4","Metrô","Sândalo De Dandi","Beijo Os Teus Lábios Desejo Te Amar"
3447,"03447.mp4","Dr. Silvana E Cia","Serão Extra","New Iguaçú Três E Meia Da Madrugada"
3448,"03448.mp4","Gian E Giovani","Te Amo Menina","Teus Olhos Menina Tem Raios De Sol"
3449,"03449.mp4","Leandro E Leonardo","Temporal De Amor","Chuva No Telhado, Vento No Portão"
3450,"03450.mp4","Gian E Giovani","Um, Dois, Três","De Uma Cachaça Boa Não Abro Mão"
3451,"03451.mp4","Daniela Mercury","A Primeira Vista","Quando Não Tinha Nada Eu Quis"
3452,"03452.mp4","Léo Jaime","A Vida Não Presta","Você Vai De Carro Pra Escola E Eu Só"
3453,"03453.mp4","Nélson Gonçalves","A Volta Do Boêmio","Boemia Aqui Me Tens De Regresso"
3454,"03454.mp4","Turma Do Balão Mágico","Amigos Do Peito","Meu Nome É Mike Gosto Muito De Brincar"
3455,"03455.mp4","Chico Buarque","Apesar De Você","Amanhã Vai Ser Outro Dia"
3456,"03456.mp4","Timbalada","Beija Flor","Eu Fui Embora Meu Amor Chorou"
3457,"03457.mp4","Beto Barbosa","Beijinho Na Boca","Beijinho Na Boca Gostoso Doce Mel"
3458,"03458.mp4","Leila Pinheiro","Besame","A Orquestra Já Nos Chamou"
3459,"03459.mp4","Maria Bethânia","Brincar De Viver","Quem Me Chamou Quem Vai Querer"
3460,"03460.mp4","Pirilampo E Saracura","Cabecinha No Ombro","Encosta Tua Cabecinha No Meu Ombro"
3461,"03461.mp4","Raça Negra","Caroline","Você Veio Pra Me Fazer Feliz"
3462,"03462.mp4","Lulu Santos","Casa","Primeiro Era Vertigem Como Em Qualquer"
3463,"03463.mp4","Raça Negra","Cigana","Não Deixe O Tempo Acabar Com O Nosso"
3464,"03464.mp4","Ultraje A Rigor","Ciúme","Eu Quero Levar Uma Vida Moderninha"
3465,"03465.mp4","Banda Eva","Coleção","Sei Que Você Gosta De Brincar De Amores"
3466,"03466.mp4","Eliana De Lima","Desejo De Amar","Foi Sem Querer Que Derramei Toda Emoção"
3467,"03467.mp4","Negritude Júnior","É Demais","Gosto Muito De Você Não Preciso Nem Falar"
3468,"03468.mp4","Jorge Benjor","Engenho De Dentro","Olha Aí Meu Bem Prudência E Dinheiro"
3469,"03469.mp4","Leandro E Leonardo","Eu Juro","Eu Vejo A Luz Do Teu Olhar"
3470,"03470.mp4","Marina Lima","Eu Não Sei Dançar","Às Vezes Eu Quero Chorar"
3471,"03471.mp4","Elis Regina","Fascinação","Os Sonhos Mais Lindos Sonhei"
3472,"03472.mp4","Skank","Garota Nacional","Aqui Nesse Mundinho Fechado"
3473,"03473.mp4","Oswaldo Montenegro","Lua E Flor","Eu Amava Como Amava Um Cantor"
3474,"03474.mp4","Ultraje A Rigor","Marylou","Eu Tinha Uma Galinha Que Se"
3475,"03475.mp4","Sampa Crew","Mesmo Assim","Foram Tantas Coisas Boas"
3476,"03476.mp4","João Paulo E Daniel","Minha Estrela Perdida","Você Vai Rir, Quando Eu Pedir"
3477,"03477.mp4","Lulu Santos","Minha Vida","Quando Eu Era Pequeno Eu Achava A Vida"
3478,"03478.mp4","Kid Abelha","Na Rua, Na Chuva, Na Fazenda","Não Estou Disposto"
3479,"03479.mp4","Chitãozinho E Xororó","Nascemos Pra Cantar","O Grande Mestre Do Céu O Nosso Criador"
3480,"03480.mp4","Rosana","Nem Um Toque","Tanta Coisa Pra Dizer E A Gente Nem Se"
3481,"03481.mp4","Daniela Mercury","O Mais Belo Dos Belos","Quem É Que Sobe A Ladeira Do"
3482,"03482.mp4","Raça Negra","O Que Eu Faço Sem Você","O Que Eu Faço Sem Você"
3483,"03483.mp4","Grupo Raça","O Teu Chamego","Na Vida Se Promete Mais"
3484,"03484.mp4","Cristina Monteiro","Ombro Amigo","Você Apareceu Ferido"
3485,"03485.mp4","Beto Barbosa","Preta","Preta Fala Pra Mim"
3486,"03486.mp4","Xuxa E José Augusto","Querer É Poder","Eu Posso Ir Onde Eu Quiser"
3487,"03487.mp4","Katinguelê","Recado A Minha Amada","Lua Vai Iluminar Os Pensamentos Dela"
3488,"03488.mp4","Engenheiros Do Hawaii","Refrão De Bolero","Eu Que Falei Nem Pensar"
3489,"03489.mp4","Orquestra Da Terra","Rei Do Gado","Sou Desse Chão Onde O Rei É Peão"
3490,"03490.mp4","Wando","Safada","Eu Te Quero Assim"
3491,"03491.mp4","Raça Negra","Seu Amor Já Terminou","Seu Amor Já Terminou Você Já Nem"
3492,"03492.mp4","Vinícius Cantuária","Só Você","Demorei Muito Pra Te Encontrar"
3493,"03493.mp4","Beto Guedes","Sol De Primavera - Com Ronaldo Bastos","Quando Entrar Setembro..."
3494,"03494.mp4","Raça Negra","Sozinho","Todo Aquele Sonho Que Sonhei"
3495,"03495.mp4","Raça Negra","Te Quero Comigo","Não Dá Pra Ficar Sem Você"
3496,"03496.mp4","Maurício Mattar","Teu Cafuné","Amor Me Espere Daqui A Pouco Eu Vou"
3497,"03497.mp4","Lulu Santos","Tudo Bem","Mas O Teu Amor Me Cura"
3498,"03498.mp4","Nelson Ned","Tudo Passará","Eu Te Dei Meu Amor"
3499,"03499.mp4","Lulu Santos","Um Pro Outro","Foi Bom Te Ver De Novo Aqui"
3500,"03500.mp4","Emílio Santiago","Verdade Chinesa","Era Só Isso Que Eu Queria Da Vida"
3501,"03501.mp4","Gera Samba","A Dança Do Bumbum","Conheci Uma Menina Que Veio Do Sul"
3502,"03502.mp4","Roupa Nova","A Força Do Amor","Abriu Minha Visão No Jeito Do Amor"
3503,"03503.mp4","Dolores Duran","A Noite Do Meu Bem","Hoje Eu Quero A Rosa Mais Linda"
3504,"03504.mp4","Lulu Santos","Adivinha O Quê","Ainda Lembro Aquela Noite Só Porque"
3505,"03505.mp4","Zé Ramalho","Admirável Gado Novo","Vocês Que Fazem Parte Dessa Massa"
3506,"03506.mp4","Fafá De Belém","Águas Passadas","Eu Sempre Disse A Mim Mesma Que Águas"
3507,"03507.mp4","Erva Doce","Amante Profissional","Moreno Alto, Bonito E Sensual"
3508,"03508.mp4","Lulu Santos","Aviso Aos Navegantes","Se Existe Alguém Na Ilha Se Tem Alguém"
3509,"03509.mp4","Rita Lee","Baila Comigo","Baila Comigo Como Se Baila Na Tribo"
3510,"03510.mp4","Chitãozinho E Xororó","Bailão De Peão","É Bailão,É Rodeio Festa De Peão Também"
3511,"03511.mp4","Barão Vermelho","Bete Balanço","Pode Seguir A Tua Estrela O Teu Brinquedo"
