code;name;artista;musica;letra
01983;01983.mp4;Ed Motta E Maria Rita;A Turma Da Pilantragem;Essa Pilantragem Que Eu Quero Com Voc
01984;01984.mp4;Xuxa;Abecedário Da Xuxa;A De Amor
01985;01985.mp4;Pitty;Admirável Chip Novo;Pane No Sistema Alguém Me Desconfigu
01986;01986.mp4;Os Vips;Afinal Chegou;Afinal Chegou
01987;01987.mp4;Zezé Di Camargo E Luciano;Andorinha Machucada;Outra Vez Ela Buscou O Meu Abraço
01988;01988.mp4;Cássia Eller;As Coisas Tão Mais Lindas;Entre As Coisas Mais Lindas Que Eu Con
01989;01989.mp4;Raul Seixas;Baby;Baby Hoje Cê Faz Treze Anos
01990;01990.mp4;Diogo Nogueira;Batendo A Porta;Como É Que Vai Saúde Boa
01991;01991.mp4;Ney Matogrosso;Calúnias (Telma Eu Não Sou Gay);Diz Que Vai Dar Meu Bem Seu Coração Pra
01992;01992.mp4;Bruna Caram;Caminho Pro Interior;A Manhã Nasceu Lá Fora
01993;01993.mp4;Monique Kessous;Com Essa Cor;Eu Vou Só
01994;01994.mp4;Wanderléa;É Tempo Do Amor;Já Chegou Já Chegou Novamente A Bonan
01995;01995.mp4;Sampa Crew;Eterno Amor;Oculto Em Minha Alma Há Tempos Tranca
01996;01996.mp4;Daniel;Eu Amo Amar Você;Eu Ando Louco De Saudade De Você
01997;01997.mp4;Ivete Sangalo;Nunca Amei Alguém Assim Como Eu Te Amei;Eu Nunca Amei Alguém Como Eu Te Amei
01998;01998.mp4;Jerry Adriani;Olhos Feiticeiros;Tem Feitiço Teus Olhos
01999;01999.mp4;Padre Zezinho;Oração Pela Família;Que Nenhuma Família
02000;02000.mp4;João Bosco E Vinícius;Sofrendo Por Amor;Tá Sofrendo Por Amor Por Que Não Joga
02501;02501.mp4;Daniel Powter;Bad Day;Where Is The Moment We Needed The Most...
02502;02502.mp4;Ramones;Blitzkrieg Bop;Hey Ho Let'S Go Hey Ho Let'S Go...
02503;02503.mp4;Men At Work;Down Under;Travelling In A Friedout Kombi...
02504;02504.mp4;Manhattans;Forever By Your Side;Friends...
02505;02505.mp4;Susan Boyle;I Dreamed A Dream;I Dreamed A Dream In Days Gone By...
02506;02506.mp4;Beyonce;If I Were A Boy;If I Were A Boy...
02507;02507.mp4;Chris Thompson;If You Remember Me;When You Remember Me If You Remember...
02508;02508.mp4;Evanescence;My Immortal;I'M So Tired Being Here...
02509;02509.mp4;Lady Gaga;Poker Face;I Wanna Hold Em' Like They Do In Texas...
02510;02510.mp4;Justin Timberlake;Rock Your Body;Don'T Be So Quick To Walk Away...
02511;02511.mp4;Beatles;A Day In The Life;I Read The News Today Oh Boy...
02512;02512.mp4;Inxs;All The Voices;Deep Down In My Heart...
02513;02513.mp4;Van Halen;Can'T Stop Loving You;There'S A Time And Place For Ev'Rything...
02514;02514.mp4;Simply Red;Every Time We Say Goodbye;Every Time We Say Goodbye...
02515;02515.mp4;Black Eyed Peas;I Gotta Feeling;I Gotta Feelin'...
02516;02516.mp4;C.C.R.;I Put A Spell On You;I Put A Spell On You Because You'Re Mine...
02517;02517.mp4;The Rembrandts;I'Ll Be There For You;So No One Told Your Life Was Gonna Be...
02518;02518.mp4;Lady Gaga;Just Dance;I'M Red Wine...
